법정동,지번,아파트이름,전용면적,계약년도,계약월,계약일,거래금액(만원),건축년도
영천동,884,동탄파크푸르지오,74.75,2020,1,14,"40,000",2018
진안동,911,진안골마을주공11단지,84.99,2020,1,22,"23,000",2004
영천동,651-1397,동탄퍼스트파크,72.5957,2020,1,29,"26,700",2003
능동,1150,동탄푸른마을신일해피트리,59.87,2020,1,29,"25,500",2008
능동,1150,동탄푸른마을신일해피트리,59.96,2020,1,29,"24,000",2008
석우동,49,푸르지오,84.065,2020,1,18,"45,000",2008
청계동,547,동탄역신안인스빌리베라2차,59.968,2020,1,19,"45,000",2016
능동,1109,능동마을이지더원,78.2912,2020,1,13,"38,500",2008
봉담읍 수영리,673,한울마을신창비바패밀리2단지,123.3429,2020,1,31,"29,200",2008
능동,1150,동탄푸른마을신일해피트리,84.88,2020,1,23,"30,000",2008
송동,693,동탄2하우스디더레이크,59.99,2020,1,22,"48,000",2016
청계동,538,동탄역센트럴푸르지오,59.4313,2020,1,18,"46,700",2015
청계동,538,동탄역센트럴푸르지오,59.4456,2020,1,17,"44,900",2015
능동,1150,동탄푸른마을신일해피트리,83.21,2020,1,31,"29,500",2008
청계동,538,동탄역센트럴푸르지오,59.3401,2020,1,20,"43,000",2015
능동,1150,동탄푸른마을신일해피트리,59.05,2020,1,31,"25,000",2008
반송동,132,솔빛마을경남아너스빌,103.3947,2020,1,13,"52,300",2007
석우동,56,신일유토빌,101.857,2020,1,21,"48,000",2008
청계동,558,동탄역대원칸타빌포레지움,106.856,2020,1,29,"60,000",2015
반월동,868,신영통현대2차,158.75,2020,1,29,"33,000",2002
반송동,102,시범다은마을포스코더샵,98.4746,2020,1,27,"53,500",2007
반송동,102,시범다은마을포스코더샵,84.5111,2020,1,27,"50,800",2007
봉담읍 상리,668,이편한세상신봉담,51.98,2020,1,18,"21,200",2019
영천동,651-1397,동탄퍼스트파크,72.5957,2020,1,15,"24,300",2003
병점동,868,병점임광그대가,59.76,2020,1,22,"18,000",2007
봉담읍 와우리,591,봉담휴먼빌,84.953,2020,1,18,"23,800",2012
진안동,908,진안골마을주공10단지,59.56,2020,1,21,"18,500",2004
기산동,468,행복마을 참누리 에듀파크(114동-120동),119.452,2020,1,31,"28,900",2006
기산동,468,행복마을 참누리 에듀파크(114동-120동),84.914,2020,1,31,"21,700",2006
기산동,468,행복마을 참누리 에듀파크(114동-120동),84.914,2020,1,28,"22,000",2006
기산동,467,행복마을 참누리 에듀파크(101동-113동),84.914,2020,1,21,"22,000",2006
능동,1115,동탄숲속마을자연앤경남아너스빌(1115-0),76.51,2020,1,21,"41,000",2008
능동,1115,동탄숲속마을자연앤경남아너스빌(1115-0),76.51,2020,1,20,"35,000",2008
청계동,536,시범반도유보라아이비파크4.0,96.7283,2020,1,23,"87,000",2018
능동,1132,동탄숲속마을 모아미래도1단지,59.37,2020,1,20,"30,000",2008
기산동,466,신동탄푸르지오,72.3185,2020,1,21,"17,600",2005
청계동,519,더샵센트럴시티,84.392,2020,1,29,"100,000",2015
봉담읍 동화리,647,봉담신동아파밀리에,84.9525,2020,1,29,"25,250",2015
청계동,520,동탄역 시범한화 꿈에그린 프레스티지,113.72,2020,1,21,"112,000",2015
봉담읍 와우리,589,봉담그대가3단지,115.461,2020,1,20,"28,000",2008
청계동,520,동탄역 시범한화 꿈에그린 프레스티지,124.52,2020,1,18,"105,000",2015
반송동,101,동탄시범다은마을 메타역 롯데캐슬,103.295,2020,1,23,"53,000",2007
청계동,520,동탄역 시범한화 꿈에그린 프레스티지,84.89,2020,1,10,"80,000",2015
